/*1.    9.1     The Shawshank Redemption (1994) 502, 588*/
206.    8.0     The Diving Bell and the Butterfly (2007)        29, 912
207.    8.0     Sleuth (1972)   16, 904
208.    8.0     Magnolia (1999) 119, 299
/*209.  8.0     Rocky (1976)    93, 209*/
210.    8.0     Kill Bill: Vol. 2 (2004)        177, 589
211.    8.0     Letters from Iwo Jima (2006)    54, 970
212.    8.0     Shadow of a Doubt (1943)        20, 840
213.    8.0     Mystic River (2003)     116, 051
214.    8.0     Stalag 17 (1953)        20, 347
215.    8.0     Network (1976)  32, 704
216.    8.0     Brief Encounter (1945)  13, 128
217.    8.0     The African Queen (1951)        33, 294
218.    8.0     Rope (1948)     30, 588
219.    8.0     Pirates of the Caribbean: The Curse of the Black Pearl (2003)   226, 785
220.    8.0     Crash (2004/I)  166, 839
221.    8.0     Bonnie and Clyde (1967) 40, 308
222.    8.0     The Battle of Algiers (1966)    13, 464
223.    8.0     The 400 Blows (1959)    23, 232
224.    8.0     Planet of the Apes (1968)       56, 246
225.    8.0     Duck Soup (1933)        25, 883
226.    8.0     Manhattan (1979)        37, 710
227.    8.0     Patton (1970)   38, 666
228.    8.0     Toy Story 2 (1999)      113, 924
229.    8.0     La strada (1954)        17, 321
230.    8.0     Crouching Tiger, Hidden Dragon (2000)   106, 781
231.    8.0     The Conversation (1974) 32, 149
232.    8.0     Barry Lyndon (1975)     38, 898
/*233.  8.0     The Truman Show (1998)  150, 851*/
234.    7.9     Little Miss Sunshine (2006)     146, 719
235.    7.9     Anatomy of a Murder (1959)      16, 263
236.    7.9     Changeling (2008)       62, 516
237.    7.9     The Curious Case of Benjamin Button (2008)      132, 401
238.    7.9     The Nightmare Before Christmas (1993)   76, 625
239.    7.9     All Quiet on the Western Front (1930)   20, 873
240.    7.9     The Adventures of Robin Hood (1938)     22, 994
241.    7.9     Spartacus (1960)        49, 453
242.    7.9     Who's Afraid of Virginia Woolf? (1966)  19, 155
243.    7.9     Mulholland Dr. (2001)   99, 697
/*244.  7.9     Monsters, Inc. (2001)   110, 850*/
/*245.  7.9     My Neighbor Totoro (1988) 龙猫  29, 440*/
246.    7.9     Ikiru (1952)    15, 665
247.    7.9     Shaun of the Dead (2004)        129, 130
/*248.  7.9     Roman Holiday (1953)    30, 126*/
/*249.  7.9     The Philadelphia Story (1940)   27, 414*/
/*250.  7.9     Rain Man (1988) 102, 094*/

/* vim:set ft=c: */
